Datum,Typ,Zone,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Höchstwert
2023-03-14,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,Temperatur,Allgemeine Parameter,°C,,10.2,
2023-03-14,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,14,300
2023-03-14,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,Temperatur,Allgemeine Parameter,°C,,10.1,
2023-03-14,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,6,300
2023-03-14,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,Temperatur,Allgemeine Parameter,°C,,10.4,
2023-03-14,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,5,300
2023-03-14,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,Temperatur,Allgemeine Parameter,°C,,10.3,
2023-03-14,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,6,300
2023-03-14,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,Temperatur,Allgemeine Parameter,°C,,10.3,
2023-03-14,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,3,300
2023-03-14,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,Temperatur,Allgemeine Parameter,°C,,10.3,
2023-03-14,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,300
2023-03-14,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,Temperatur,Allgemeine Parameter,°C,,10.3,
2023-03-14,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,11,300
2023-03-14,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,Temperatur,Allgemeine Parameter,°C,,10.8,
2023-03-14,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,7,300
2023-03-14,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,Temperatur,Allgemeine Parameter,°C,,10.3,
2023-03-14,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,9,300
2023-03-14,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,Temperatur,Allgemeine Parameter,°C,,7.3,
2023-03-14,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,6,300
2023-03-14,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,Temperatur,Allgemeine Parameter,°C,,7.2,
2023-03-14,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,5,300
2023-03-14,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,Temperatur,Allgemeine Parameter,°C,,6.7,
2023-03-14,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,5,300
2023-03-14,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,Temperatur,Allgemeine Parameter,°C,,6.7,
2023-03-14,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,10,300
2023-03-14,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,Temperatur,Allgemeine Parameter,°C,,6.8,
2023-03-14,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,5,300
2023-03-14,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,Temperatur,Allgemeine Parameter,°C,,6.5,
2023-03-14,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,7,300
2023-03-14,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,Temperatur,Allgemeine Parameter,°C,,7.3,
2023-03-14,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,8,300
2023-03-14,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-14,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,Temperatur,Allgemeine Parameter,°C,,7.3,
2023-03-14,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,5,300
2023-03-14,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,Temperatur,Allgemeine Parameter,°C,,7.5,
2023-03-21,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,14,300
2023-03-21,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 2",R2222/15,Temperatur,Allgemeine Parameter,°C,,7.2,
2023-03-21,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 2",R2222/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,25,300
2023-03-21,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 2",R2222/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 1",R2321/15,Temperatur,Allgemeine Parameter,°C,,7.5,
2023-03-21,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 1",R2321/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,12,300
2023-03-21,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 1",R2321/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 2",R2322/15,Temperatur,Allgemeine Parameter,°C,,7.2,
2023-03-21,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 2",R2322/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,13,300
2023-03-21,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 2",R2322/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,Temperatur,Allgemeine Parameter,°C,,7,
2023-03-21,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,12,300
2023-03-21,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,Temperatur,Allgemeine Parameter,°C,,6.8,
2023-03-21,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,10,300
2023-03-21,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,Temperatur,Allgemeine Parameter,°C,,7.1,
2023-03-21,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,22,300
2023-03-21,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 1",R2621/15,Temperatur,Allgemeine Parameter,°C,,7.3,
2023-03-21,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 1",R2621/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,28,300
2023-03-21,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 1",R2621/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 2",R2622/15,Temperatur,Allgemeine Parameter,°C,,7.1,
2023-03-21,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 2",R2622/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,22,300
2023-03-21,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 2",R2622/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,Temperatur,Allgemeine Parameter,°C,,7.7,
2023-03-21,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,36,300
2023-03-21,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,Temperatur,Allgemeine Parameter,°C,,7.6,
2023-03-21,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,26,300
2023-03-21,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 1",R2921/15,Temperatur,Allgemeine Parameter,°C,,7.6,
2023-03-21,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 1",R2921/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,23,300
2023-03-21,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 1",R2921/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 2",R2922/15,Temperatur,Allgemeine Parameter,°C,,7.3,
2023-03-21,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 2",R2922/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,24,300
2023-03-21,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 2",R2922/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 1",R3021/15,Temperatur,Allgemeine Parameter,°C,,7,
2023-03-21,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 1",R3021/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,17,300
2023-03-21,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 1",R3021/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,Temperatur,Allgemeine Parameter,°C,,6.8,
2023-03-21,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,9,300
2023-03-21,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,Temperatur,Allgemeine Parameter,°C,,6.9,
2023-03-21,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,15,300
2023-03-21,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-21,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,Temperatur,Allgemeine Parameter,°C,,6.7,
2023-03-21,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,11,300
2023-03-21,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-03-28,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,Temperatur,Allgemeine Parameter,°C,,8.1,
2023-03-28,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4,
2023-03-28,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,105417,
2023-03-28,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Temperatur,Allgemeine Parameter,°C,,8,
2023-03-28,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.7,
2023-03-28,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,99144,
2023-03-28,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,Temperatur,Allgemeine Parameter,°C,,10.6,
2023-03-28,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.1,
2023-03-28,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,37178,
2023-03-28,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,Temperatur,Allgemeine Parameter,°C,,10.5,
2023-03-28,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1,
2023-03-28,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,37283,
2023-03-28,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,Temperatur,Allgemeine Parameter,°C,,10.5,
2023-03-28,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.4,
2023-03-28,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,47150,
2023-03-28,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,Temperatur,Allgemeine Parameter,°C,,10.4,
2023-03-28,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.4,
2023-03-28,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,48228,
2023-03-28,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,Temperatur,Allgemeine Parameter,°C,,10.6,
2023-03-28,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.3,
2023-03-28,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,40211,
2023-03-28,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,Temperatur,Allgemeine Parameter,°C,,10.3,
2023-03-28,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.2,
2023-03-28,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,41339,
2023-03-28,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,Temperatur,Allgemeine Parameter,°C,,10.5,
2023-03-28,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,0.8,
2023-03-28,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,37383,
2023-03-28,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,Temperatur,Allgemeine Parameter,°C,,11,
2023-03-28,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,0.9,
2023-03-28,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,38567,
2023-03-28,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,Temperatur,Allgemeine Parameter,°C,,10.5,
2023-03-28,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.2,
2023-03-28,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,40328,
2023-03-28,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,Temperatur,Allgemeine Parameter,°C,,8.3,
2023-03-28,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.9,
2023-03-28,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,107728,
2023-03-28,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,Temperatur,Allgemeine Parameter,°C,,7.9,
2023-03-28,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.4,
2023-03-28,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,105500,
2023-03-28,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,Temperatur,Allgemeine Parameter,°C,,7.4,
2023-03-28,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.6,
2023-03-28,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,97478,
2023-03-28,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,Temperatur,Allgemeine Parameter,°C,,7.2,
2023-03-28,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.6,
2023-03-28,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,99156,
2023-03-28,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,Temperatur,Allgemeine Parameter,°C,,7,
2023-03-28,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.7,
2023-03-28,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,83322,
2023-03-28,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,Temperatur,Allgemeine Parameter,°C,,6.6,
2023-03-28,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.2,
2023-03-28,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,83267,
2023-03-28,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,Temperatur,Allgemeine Parameter,°C,,8.7,
2023-03-28,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.6,
2023-03-28,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,94228,
2023-03-28,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,Temperatur,Allgemeine Parameter,°C,,8.4,
2023-03-28,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.8,
2023-03-28,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,107800,
2023-04-04,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,Temperatur,Allgemeine Parameter,°C,,7.9,
2023-04-04,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.7,
2023-04-04,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,126217,
